DATASOURCE,DAYOFSERVICE,TRIPID,PROGRNUMBER,STOPPOINTID,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,VEHICLEID,PASSENGERS,PASSENGERSIN,PASSENGERSOUT,DISTANCE,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
106,DB,05-JAN-18 00:00:00,5968243,21,1637,27155,27155,27246,27260,2172305,,,,,,,12-JAN-18 20:27:15,
107,DB,05-JAN-18 00:00:00,5963817,38,1076,47152,47152,46764,46784,2406909,,,,,,,12-JAN-18 20:27:15,
108,DB,05-JAN-18 00:00:00,5972393,36,617,59792,59792,59720,59720,2534858,,,,,,,12-JAN-18 20:27:15,
109,DB,05-JAN-18 00:00:00,5959115,1,4595,63600,63600,63623,63623,1932366,,,,,,,12-JAN-18 20:27:15,
110,DB,05-JAN-18 00:00:00,5965377,51,3212,81098,81098,80734,80746,1932335,,,,,,,12-JAN-18 20:27:15,
111,DB,05-JAN-18 00:00:00,5970550,70,682,43680,43680,43514,43514,1000778,,,,,,,12-JAN-18 20:27:15,
112,DB,05-JAN-18 00:00:00,5966330,29,1090,68342,68342,68674,68674,2868349,,,,,,,12-JAN-18 20:27:15,
113,DB,05-JAN-18 00:00:00,5957397,34,2329,67644,67644,67403,67417,1001129,,,,,,,12-JAN-18 20:27:15,
114,DB,05-JAN-18 00:00:00,5971748,12,7602,59740,59740,60081,60106,1932358,,,,,,,12-JAN-18 20:27:15,
115,DB,05-JAN-18 00:00:00,5962266,77,2682,48511,48511,48333,48333,2172298,,,,,,,12-JAN-18 20:27:15,
116,DB,05-JAN-18 00:00:00,5959876,45,2069,83453,83453,83436,83436,2693277,,,,,,,12-JAN-18 20:27:15,
117,DB,05-JAN-18 00:00:00,5963978,62,400,69643,69643,69504,69514,2406895,,,,,,,12-JAN-18 20:27:15,
118,DB,05-JAN-18 00:00:00,5971700,9,4182,48004,48004,47915,47929,2693217,,,,,,,12-JAN-18 20:27:15,
119,DB,05-JAN-18 00:00:00,5956892,8,312,41764,41764,41468,41487,2693287,,,,,,,12-JAN-18 20:27:15,
120,DB,05-JAN-18 00:00:00,5969872,51,750,36120,36120,35014,35024,2868319,,,,,,,12-JAN-18 20:27:15,
121,DB,05-JAN-18 00:00:00,5961027,37,3649,64884,64884,65012,65019,1000354,,,,,,,12-JAN-18 20:27:15,
122,DB,05-JAN-18 00:00:00,5958932,31,1808,53179,53179,53342,53355,2868372,,,,,,,12-JAN-18 20:27:15,
123,DB,05-JAN-18 00:00:00,5957956,58,3908,75249,75249,75556,75567,1000909,,,,,,,12-JAN-18 20:27:15,
124,DB,05-JAN-18 00:00:00,5971536,24,185,27496,27496,27340,27340,2172313,,,,,,,12-JAN-18 20:27:15,
125,DB,05-JAN-18 00:00:00,5972338,33,1911,33720,33720,33552,33590,1000922,,,,,,,12-JAN-18 20:27:15,
126,DB,05-JAN-18 00:00:00,5970950,16,205,57722,57722,57624,57680,1000311,,,,,,,12-JAN-18 20:27:15,
127,DB,05-JAN-18 00:00:00,5957177,23,2657,75486,75486,75469,75485,1000241,,,,,,,12-JAN-18 20:27:15,
128,DB,05-JAN-18 00:00:00,5966482,83,2623,44255,44255,44030,44030,2406919,,,,,,,12-JAN-18 20:27:15,
129,DB,05-JAN-18 00:00:00,5969375,66,2573,82766,82766,83276,83276,2534840,,,,,,,12-JAN-18 20:27:15,
130,DB,05-JAN-18 00:00:00,5970331,22,119,81290,81290,81072,81072,2868359,,,,,,,12-JAN-18 20:27:15,
131,DB,06-JAN-18 00:00:00,5956278,45,3056,58381,58381,58186,58186,1000227,,,,,,,15-JAN-18 08:25:25,
132,DB,06-JAN-18 00:00:00,5963143,31,887,46724,46724,46627,46656,2406881,,,,,,,15-JAN-18 08:25:25,
133,DB,06-JAN-18 00:00:00,5967299,37,2380,32500,32500,32236,32236,2868344,,,,,,,15-JAN-18 08:25:25,
134,DB,06-JAN-18 00:00:00,5963170,45,6341,57029,57029,56540,56540,2693266,,,,,,,15-JAN-18 08:25:25,
135,DB,06-JAN-18 00:00:00,5970158,23,1083,63549,63549,63445,63445,2868400,,,,,,,15-JAN-18 08:25:25,
136,DB,06-JAN-18 00:00:00,5957492,24,2239,83421,83421,83382,83419,2172257,,,,,,,15-JAN-18 08:25:25,
137,DB,06-JAN-18 00:00:00,5962214,45,1087,79379,79379,78557,78557,1000377,,,,,,,15-JAN-18 08:25:25,
138,DB,06-JAN-18 00:00:00,5967835,33,4608,54865,54865,54746,54746,1000899,,,,,,,15-JAN-18 08:25:25,
139,DB,06-JAN-18 00:00:00,5957310,27,2251,59293,59293,59398,59398,1000498,,,,,,,15-JAN-18 08:25:25,
140,DB,06-JAN-18 00:00:00,5967022,15,6068,24342,24342,24365,24365,1001122,,,,,,,15-JAN-18 08:25:25,
141,DB,06-JAN-18 00:00:00,5960577,47,1291,57884,57884,57487,57505,1000895,,,,,,,15-JAN-18 08:25:25,
142,DB,06-JAN-18 00:00:00,5959736,24,4432,45556,45556,45477,45477,1000740,,,,,,,15-JAN-18 08:25:25,
143,DB,06-JAN-18 00:00:00,5962604,2,7298,83024,83024,83080,83080,2172264,,,,,,,15-JAN-18 08:25:25,
144,DB,06-JAN-18 00:00:00,5956481,32,617,61685,61685,61755,61772,1932326,,,,,,,15-JAN-18 08:25:25,
145,DB,06-JAN-18 00:00:00,5957366,46,7453,69662,69662,69466,69492,2868366,,,,,,,15-JAN-18 08:25:25,
